地名,都道府県,運輸支局,自動車検査登録事務所名,読み仮名
札幌,北海道,北海道運輸局 札幌運輸支局,本庁舎,さっぽろ
函館,北海道,北海道運輸局 函館運輸支局,本庁舎,はこだて
旭川,北海道,北海道運輸局 旭川運輸支局,本庁舎,あさひかわ
室蘭,北海道,北海道運輸局 室蘭運輸支局,本庁舎,むろらん
苫小牧,北海道,北海道運輸局 室蘭運輸支局,本庁舎,とまこまい
釧路,北海道,北海道運輸局 釧路運輸支局,本庁舎,くしろ
知床,北海道,北海道運輸局 釧路運輸支局,本庁舎,しれとこ
帯広,北海道,北海道運輸局 帯広運輸支局,本庁舎,おびひろ
北見,北海道,北海道運輸局 北見運輸支局,本庁舎,きたみ
知床,北海道,北海道運輸局 北見運輸支局,本庁舎,しれとこ
青森,青森県,東北運輸局 青森運輸支局,本庁舎,あおもり
弘前,青森県,東北運輸局 青森運輸支局,本庁舎,ひろさき
八戸,青森県,東北運輸局 青森運輸支局,八戸自動車検査登録事務所,はちのへ
岩手,岩手県,東北運輸局 岩手運輸支局,本庁舎,いわて
盛岡,岩手県,東北運輸局 岩手運輸支局,本庁舎,もりおか
平泉,岩手県,東北運輸局 岩手運輸支局,本庁舎,ひらいずみ
宮城,宮城県,東北運輸局 宮城運輸支局,本庁舎,みやぎ
仙台,宮城県,東北運輸局 宮城運輸支局,本庁舎,せんだい
秋田,秋田県,東北運輸局 秋田運輸支局,本庁舎,あきた
山形,山形県,東北運輸局 山形運輸支局,本庁舎,やまがた
庄内,山形県,東北運輸局 山形運輸支局,庄内自動車検査登録事務所,しょうない
福島,福島県,東北運輸局 福島運輸支局,本庁舎,ふくしま
会津,福島県,東北運輸局 福島運輸支局,本庁舎,あいづ
郡山,福島県,東北運輸局 福島運輸支局,本庁舎,こおりやま
白河,福島県,東北運輸局 福島運輸支局,本庁舎,しらかわ
いわき,福島県,東北運輸局 福島運輸支局,いわき自動車検査登録事務所,いわき
水戸,茨城県,関東運輸局 茨城運輸支局,本庁舎,みと
土浦,茨城県,関東運輸局 茨城運輸支局,土浦自動車検査登録事務所,つちうら
つくば,茨城県,関東運輸局 茨城運輸支局,土浦自動車検査登録事務所,つくば
宇都宮,栃木県,関東運輸局 栃木運輸支局,本庁舎,うつのみや
那須,栃木県,関東運輸局 栃木運輸支局,本庁舎,なす
とちぎ,栃木県,関東運輸局 栃木運輸支局,佐野自動車検査登録事務所,とちぎ
群馬,群馬県,関東運輸局 群馬運輸支局,本庁舎,ぐんま
前橋,群馬県,関東運輸局 群馬運輸支局,本庁舎,まえばし
高崎,群馬県,関東運輸局 群馬運輸支局,本庁舎,たかさき
大宮,埼玉県,関東運輸局 埼玉運輸支局,本庁舎,おおみや
川口,埼玉県,関東運輸局 埼玉運輸支局,本庁舎,かわぐち
所沢,埼玉県,関東運輸局 埼玉運輸支局,所沢自動車検査登録事務所,ところざわ
川越,埼玉県,関東運輸局 埼玉運輸支局,所沢自動車検査登録事務所,かわごえ
熊谷,埼玉県,関東運輸局 埼玉運輸支局,熊谷自動車検査登録事務所,くまがや
春日部,埼玉県,関東運輸局 埼玉運輸支局,春日部自動車検査登録事務所,かすかべ
越谷,埼玉県,関東運輸局 埼玉運輸支局,春日部自動車検査登録事務所,こしがや
千葉,千葉県,関東運輸局 千葉運輸支局,本庁舎,ちば
成田,千葉県,関東運輸局 千葉運輸支局,本庁舎,なりた
習志野,千葉県,関東運輸局 千葉運輸支局,習志野自動車検査登録事務所,ならしの
市川,千葉県,関東運輸局 千葉運輸支局,習志野自動車検査登録事務所,いちかわ
船橋,千葉県,関東運輸局 千葉運輸支局,習志野自動車検査登録事務所,ふなばし
袖ヶ浦,千葉県,関東運輸局 千葉運輸支局,袖ヶ浦自動車検査登録事務所,そでがうら
市原,千葉県,関東運輸局 千葉運輸支局,袖ヶ浦自動車検査登録事務所,いちはら
野田,千葉県,関東運輸局 千葉運輸支局,野田自動車検査登録事務所,のだ
柏,千葉県,関東運輸局 千葉運輸支局,野田自動車検査登録事務所,かしわ
松戸,千葉県,関東運輸局 千葉運輸支局,野田自動車検査登録事務所,まつど
品川,東京都,関東運輸局 東京運輸支局,本庁舎,しながわ
世田谷,東京都,関東運輸局 東京運輸支局,本庁舎,せたがや
練馬,東京都,関東運輸局 東京運輸支局,練馬自動車検査登録事務所,ねりま
杉並,東京都,関東運輸局 東京運輸支局,練馬自動車検査登録事務所,すぎなみ
板橋,東京都,関東運輸局 東京運輸支局,練馬自動車検査登録事務所,いたばし
足立,東京都,関東運輸局 東京運輸支局,足立自動車検査登録事務所,あだち
江東,東京都,関東運輸局 東京運輸支局,足立自動車検査登録事務所,こうとう
葛飾,東京都,関東運輸局 東京運輸支局,足立自動車検査登録事務所,かつしか
八王子,東京都,関東運輸局 東京運輸支局,八王子自動車検査登録事務所,はちおうじ
多摩,東京都,関東運輸局 東京運輸支局,多摩自動車検査登録事務所,たま
横浜,神奈川県,関東運輸局 神奈川運輸支局,本庁舎,よこはま
川崎,神奈川県,関東運輸局 神奈川運輸支局,川崎自動車検査登録事務所,かわさき
湘南,神奈川県,関東運輸局 神奈川運輸支局,湘南自動車検査登録事務所,しょうなん
相模,神奈川県,関東運輸局 神奈川運輸支局,相模自動車検査登録事務所,さがみ
山梨,山梨県,関東運輸局 山梨運輸支局,本庁舎,やまなし
富士山,山梨県,関東運輸局 山梨運輸支局,本庁舎,ふじさん
新潟,新潟県,北陸信越運輸局 新潟運輸支局,本庁舎,にいがた
長岡,新潟県,北陸信越運輸局 新潟運輸支局,長岡自動車検査登録事務所,ながおか
上越,新潟県,北陸信越運輸局 新潟運輸支局,長岡自動車検査登録事務所,じょうえつ
長野,長野県,北陸信越運輸局 長野運輸支局,本庁舎,ながの
松本,長野県,北陸信越運輸局 長野運輸支局,松本自動車検査登録事務所,まつもと
諏訪,長野県,北陸信越運輸局 長野運輸支局,松本自動車検査登録事務所,すわ
富山,富山県,北陸信越運輸局 富山運輸支局,本庁舎,とやま
石川,石川県,北陸信越運輸局 石川運輸支局,本庁舎,いしかわ
金沢,石川県,北陸信越運輸局 石川運輸支局,本庁舎,かなざわ
福井,福井県,中部運輸局 福井運輸支局,本庁舎,ふくい
岐阜,岐阜県,中部運輸局 岐阜運輸支局,本庁舎,ぎふ
飛騨,岐阜県,中部運輸局 岐阜運輸支局,飛騨自動車検査登録事務所,ひだ
静岡,静岡県,中部運輸局 静岡運輸支局,本庁舎,しずおか
浜松,静岡県,中部運輸局 静岡運輸支局,浜松自動車検査登録事務所,はままつ
沼津,静岡県,中部運輸局 静岡運輸支局,沼津自動車検査登録事務所,ぬまづ
伊豆,静岡県,中部運輸局 静岡運輸支局,沼津自動車検査登録事務所,いず
富士山,静岡県,中部運輸局 静岡運輸支局,沼津自動車検査登録事務所,ふじさん
名古屋,愛知県,中部運輸局 愛知運輸支局,本庁舎,なごや
豊橋,愛知県,中部運輸局 愛知運輸支局,豊橋自動車検査登録事務所,とよはし
三河,愛知県,中部運輸局 愛知運輸支局,西三河自動車検査登録事務所,みかわ
岡崎,愛知県,中部運輸局 愛知運輸支局,西三河自動車検査登録事務所,おかざき
豊田,愛知県,中部運輸局 愛知運輸支局,西三河自動車検査登録事務所,とよた
尾張小牧,愛知県,中部運輸局 愛知運輸支局,小牧自動車検査登録事務所,おわりこまき
一宮,愛知県,中部運輸局 愛知運輸支局,小牧自動車検査登録事務所,いちのみや
春日井,愛知県,中部運輸局 愛知運輸支局,小牧自動車検査登録事務所,かすがい
三重,三重県,中部運輸局 三重運輸支局,本庁舎,みえ
鈴鹿,三重県,中部運輸局 三重運輸支局,本庁舎,すずか
四日市,三重県,中部運輸局 三重運輸支局,本庁舎,よっかいち
伊勢志摩,三重県,中部運輸局 三重運輸支局,本庁舎,いせしま
滋賀,滋賀県,近畿運輸局 滋賀運輸支局,本庁舎,しが
京都,京都府,近畿運輸局 京都運輸支局,本庁舎,きょうと
なにわ,大阪府,近畿運輸局 大阪運輸支局,なにわ自動車検査登録事務所,なにわ
大阪,大阪府,近畿運輸局 大阪運輸支局,本庁舎,おおさか
和泉,大阪府,近畿運輸局 大阪運輸支局,和泉自動車検査登録事務所,いずみ
堺,大阪府,近畿運輸局 大阪運輸支局,和泉自動車検査登録事務所,さかい
奈良,奈良県,近畿運輸局 奈良運輸支局,本庁舎,なら
飛鳥,奈良県,近畿運輸局 奈良運輸支局,本庁舎,あすか
和歌山,和歌山県,近畿運輸局 和歌山運輸支局,本庁舎,わかやま
神戸,兵庫県,神戸運輸監理部,兵庫陸運部,こうべ
姫路,兵庫県,神戸運輸監理部,姫路自動車検査登録事務所,ひめじ
鳥取,鳥取県,中国運輸局 鳥取運輸支局,本庁舎,とっとり
島根,島根県,中国運輸局 島根運輸支局,本庁舎,しまね
出雲,島根県,中国運輸局 島根運輸支局,本庁舎,いずも
岡山,岡山県,中国運輸局 岡山運輸支局,本庁舎,おかやま
倉敷,岡山県,中国運輸局 岡山運輸支局,本庁舎,くらしき
広島,広島県,中国運輸局 広島運輸支局,本庁舎,ひろしま
福山,広島県,中国運輸局 広島運輸支局,福山自動車検査登録事務所,ふくやま
山口,山口県,中国運輸局 山口運輸支局,本庁舎,やまぐち
下関,山口県,中国運輸局 山口運輸支局,本庁舎,しものせき
徳島,徳島県,四国運輸局 徳島運輸支局,応神町庁舎,とくしま
